GENESIS-Tabelle: 12521-0008
Ausländer: Deutschland, Stichtag, Geschlecht,;;;;
Aufenthaltstitel/Ausgewählte Aufenthaltstitel,;;;;
Ländergruppierungen/Staatsangehörigkeit;;;;
Ausländerstatistik;;;;
Deutschland;;;;
Ausländer (Anzahl);;;;
;;;männlich;weiblich
31.12.2018;Drittstaaten zu EU-15 (bis 30.04.2004);Ohne Aufenthaltstitel, Duldung oder Gestattung;203785;144365
31.12.2018;EG-12 (bis 31.12.1994);Freizügigkeit nach EU-Recht;1005310;801800
31.12.2018;EG-12 (bis 31.12.1994);V.d.Erford.e.Aufenthaltstit.befreit, heimatl.Ausl.;5;-
31.12.2018;EG-12 (bis 31.12.1994);Unbefristeter Aufenthaltstitel;-;-
31.12.2018;EG-12 (bis 31.12.1994);Befristeter Aufenthaltstitel;10;10
31.12.2018;EG-12 (bis 31.12.1994);Befr.Aufenthaltserl.z.Zweck d.Ausbild., AufenthG;-;-
31.12.2018;EG-12 (bis 31.12.1994);Befr.Aufenthaltserl. z.Zweck d.Erwerbst.,AufenthG;-;-
31.12.2018;EG-12 (bis 31.12.1994);Befr. AE.aus völkerr.,human.,pol.Gründen,AufenthG;5;5
31.12.2018;EG-12 (bis 31.12.1994);Befr.Aufenthaltserlaubn. a.fam. Gründen, AufenthG;5;5
31.12.2018;EG-12 (bis 31.12.1994);Aufenthaltsst. mit bes. Aufenthaltsrecht, AufenthG;-;-
31.12.2018;EG-12 (bis 31.12.1994);Antrag auf einen Aufenthaltstitel gestellt;5;-
31.12.2018;EG-12 (bis 31.12.1994);Duldung;20;5
31.12.2018;EG-12 (bis 31.12.1994);Aufenthaltsgestattung;5;5
31.12.2018;EG-12 (bis 31.12.1994);Ohne Aufenthaltstitel, Duldung oder Gestattung;340;85
31.12.2018;Drittstaaten zu EG-12 (bis 31.12.1994);Freizügigkeit nach EU-Recht;1663605;1426770
31.12.2018;Drittstaaten zu EG-12 (bis 31.12.1994);V.d.Erford.e.Aufenthaltstit.befreit, heimatl.Ausl.;5230;3870
31.12.2018;Drittstaaten zu EG-12 (bis 31.12.1994);Unbefristeter Aufenthaltstitel;1231040;1260765
31.12.2018;Drittstaaten zu EG-12 (bis 31.12.1994);Befristeter Aufenthaltstitel;1291805;1138070
31.12.2018;Drittstaaten zu EG-12 (bis 31.12.1994);Befr.Aufenthaltserl.z.Zweck d.Ausbild., AufenthG;120975;99210
31.12.2018;Drittstaaten zu EG-12 (bis 31.12.1994);Befr.Aufenthaltserl. z.Zweck d.Erwerbst.,AufenthG;150695;69710
31.12.2018;Drittstaaten zu EG-12 (bis 31.12.1994);Befr. AE.aus völkerr.,human.,pol.Gründen,AufenthG;644270;408200
31.12.2018;Drittstaaten zu EG-12 (bis 31.12.1994);Befr.Aufenthaltserlaubn. a.fam. Gründen, AufenthG;299525;500985
31.12.2018;Drittstaaten zu EG-12 (bis 31.12.1994);Aufenthaltsst. mit bes. Aufenthaltsrecht, AufenthG;76345;59965
31.12.2018;Drittstaaten zu EG-12 (bis 31.12.1994);Antrag auf einen Aufenthaltstitel gestellt;145310;115475
31.12.2018;Drittstaaten zu EG-12 (bis 31.12.1994);Duldung;122605;58045
31.12.2018;Drittstaaten zu EG-12 (bis 31.12.1994);Aufenthaltsgestattung;203390;93700
31.12.2018;Drittstaaten zu EG-12 (bis 31.12.1994);Ohne Aufenthaltstitel, Duldung oder Gestattung;203810;144370
31.12.2018;EG-10 (bis 31.12.1985);Freizügigkeit nach EU-Recht;837205;655085
31.12.2018;EG-10 (bis 31.12.1985);V.d.Erford.e.Aufenthaltstit.befreit, heimatl.Ausl.;5;-
31.12.2018;EG-10 (bis 31.12.1985);Unbefristeter Aufenthaltstitel;-;-
31.12.2018;EG-10 (bis 31.12.1985);Befristeter Aufenthaltstitel;5;10
31.12.2018;EG-10 (bis 31.12.1985);Befr.Aufenthaltserl.z.Zweck d.Ausbild., AufenthG;-;-
31.12.2018;EG-10 (bis 31.12.1985);Befr.Aufenthaltserl. z.Zweck d.Erwerbst.,AufenthG;-;-
31.12.2018;EG-10 (bis 31.12.1985);Befr. AE.aus völkerr.,human.,pol.Gründen,AufenthG;5;5
31.12.2018;EG-10 (bis 31.12.1985);Befr.Aufenthaltserlaubn. a.fam. Gründen, AufenthG;5;5
31.12.2018;EG-10 (bis 31.12.1985);Aufenthaltsst. mit bes. Aufenthaltsrecht, AufenthG;-;-
31.12.2018;EG-10 (bis 31.12.1985);Antrag auf einen Aufenthaltstitel gestellt;5;-
31.12.2018;EG-10 (bis 31.12.1985);Duldung;15;5
31.12.2018;EG-10 (bis 31.12.1985);Aufenthaltsgestattung;5;-
31.12.2018;EG-10 (bis 31.12.1985);Ohne Aufenthaltstitel, Duldung oder Gestattung;295;60
31.12.2018;Drittstaaten zu EG-10 (bis 31.12.1985);Freizügigkeit nach EU-Recht;1831710;1573485
31.12.2018;Drittstaaten zu EG-10 (bis 31.12.1985);V.d.Erford.e.Aufenthaltstit.befreit, heimatl.Ausl.;5230;3870
31.12.2018;Drittstaaten zu EG-10 (bis 31.12.1985);Unbefristeter Aufenthaltstitel;1231040;1260765
31.12.2018;Drittstaaten zu EG-10 (bis 31.12.1985);Befristeter Aufenthaltstitel;1291805;1138070
31.12.2018;Drittstaaten zu EG-10 (bis 31.12.1985);Befr.Aufenthaltserl.z.Zweck d.Ausbild., AufenthG;120975;99210
31.12.2018;Drittstaaten zu EG-10 (bis 31.12.1985);Befr.Aufenthaltserl. z.Zweck d.Erwerbst.,AufenthG;150695;69710
31.12.2018;Drittstaaten zu EG-10 (bis 31.12.1985);Befr. AE.aus völkerr.,human.,pol.Gründen,AufenthG;644270;408200
31.12.2018;Drittstaaten zu EG-10 (bis 31.12.1985);Befr.Aufenthaltserlaubn. a.fam. Gründen, AufenthG;299525;500985
31.12.2018;Drittstaaten zu EG-10 (bis 31.12.1985);Aufenthaltsst. mit bes. Aufenthaltsrecht, AufenthG;76345;59965
31.12.2018;Drittstaaten zu EG-10 (bis 31.12.1985);Antrag auf einen Aufenthaltstitel gestellt;145310;115480
31.12.2018;Drittstaaten zu EG-10 (bis 31.12.1985);Duldung;122610;58050
31.12.2018;Drittstaaten zu EG-10 (bis 31.12.1985);Aufenthaltsgestattung;203390;93705
31.12.2018;Drittstaaten zu EG-10 (bis 31.12.1985);Ohne Aufenthaltstitel, Duldung oder Gestattung;203855;144395
31.12.2018;EG-9 (bis 31.12.1980);Freizügigkeit nach EU-Recht;640105;489045
31.12.2018;EG-9 (bis 31.12.1980);V.d.Erford.e.Aufenthaltstit.befreit, heimatl.Ausl.;-;-
31.12.2018;EG-9 (bis 31.12.1980);Unbefristeter Aufenthaltstitel;-;-
31.12.2018;EG-9 (bis 31.12.1980);Befristeter Aufenthaltstitel;5;5
31.12.2018;EG-9 (bis 31.12.1980);Befr.Aufenthaltserl.z.Zweck d.Ausbild., AufenthG;-;-
31.12.2018;EG-9 (bis 31.12.1980);Befr.Aufenthaltserl. z.Zweck d.Erwerbst.,AufenthG;-;-
31.12.2018;EG-9 (bis 31.12.1980);Befr. AE.aus völkerr.,human.,pol.Gründen,AufenthG;5;5
31.12.2018;EG-9 (bis 31.12.1980);Befr.Aufenthaltserlaubn. a.fam. Gründen, AufenthG;5;-
31.12.2018;EG-9 (bis 31.12.1980);Aufenthaltsst. mit bes. Aufenthaltsrecht, AufenthG;-;-
31.12.2018;EG-9 (bis 31.12.1980);Antrag auf einen Aufenthaltstitel gestellt;-;-
31.12.2018;EG-9 (bis 31.12.1980);Duldung;10;5
31.12.2018;EG-9 (bis 31.12.1980);Aufenthaltsgestattung;5;-
31.12.2018;EG-9 (bis 31.12.1980);Ohne Aufenthaltstitel, Duldung oder Gestattung;245;45
31.12.2018;Drittstaaten zu EG-9 (bis 31.12.1980);Freizügigkeit nach EU-Recht;2028805;1739525
31.12.2018;Drittstaaten zu EG-9 (bis 31.12.1980);V.d.Erford.e.Aufenthaltstit.befreit, heimatl.Ausl.;5235;3870
31.12.2018;Drittstaaten zu EG-9 (bis 31.12.1980);Unbefristeter Aufenthaltstitel;1231040;1260765
31.12.2018;Drittstaaten zu EG-9 (bis 31.12.1980);Befristeter Aufenthaltstitel;1291805;1138075
31.12.2018;Drittstaaten zu EG-9 (bis 31.12.1980);Befr.Aufenthaltserl.z.Zweck d.Ausbild., AufenthG;120975;99210
31.12.2018;Drittstaaten zu EG-9 (bis 31.12.1980);Befr.Aufenthaltserl. z.Zweck d.Erwerbst.,AufenthG;150695;69710
31.12.2018;Drittstaaten zu EG-9 (bis 31.12.1980);Befr. AE.aus völkerr.,human.,pol.Gründen,AufenthG;644270;408200
31.12.2018;Drittstaaten zu EG-9 (bis 31.12.1980);Befr.Aufenthaltserlaubn. a.fam. Gründen, AufenthG;299525;500985
31.12.2018;Drittstaaten zu EG-9 (bis 31.12.1980);Aufenthaltsst. mit bes. Aufenthaltsrecht, AufenthG;76345;59965
31.12.2018;Drittstaaten zu EG-9 (bis 31.12.1980);Antrag auf einen Aufenthaltstitel gestellt;145315;115480
31.12.2018;Drittstaaten zu EG-9 (bis 31.12.1980);Duldung;122610;58050
31.12.2018;Drittstaaten zu EG-9 (bis 31.12.1980);Aufenthaltsgestattung;203390;93705
31.12.2018;Drittstaaten zu EG-9 (bis 31.12.1980);Ohne Aufenthaltstitel, Duldung oder Gestattung;203900;144415
31.12.2018;EWG-6 (bis 31.12.1972);Freizügigkeit nach EU-Recht;553975;430765
31.12.2018;EWG-6 (bis 31.12.1972);V.d.Erford.e.Aufenthaltstit.befreit, heimatl.Ausl.;-;-
31.12.2018;EWG-6 (bis 31.12.1972);Unbefristeter Aufenthaltstitel;-;-
31.12.2018;EWG-6 (bis 31.12.1972);Befristeter Aufenthaltstitel;5;5
31.12.2018;EWG-6 (bis 31.12.1972);Befr.Aufenthaltserl.z.Zweck d.Ausbild., AufenthG;-;-
31.12.2018;EWG-6 (bis 31.12.1972);Befr.Aufenthaltserl. z.Zweck d.Erwerbst.,AufenthG;-;-
31.12.2018;EWG-6 (bis 31.12.1972);Befr. AE.aus völkerr.,human.,pol.Gründen,AufenthG;5;5
31.12.2018;EWG-6 (bis 31.12.1972);Befr.Aufenthaltserlaubn. a.fam. Gründen, AufenthG;5;-
31.12.2018;EWG-6 (bis 31.12.1972);Aufenthaltsst. mit bes. Aufenthaltsrecht, AufenthG;-;-
31.12.2018;EWG-6 (bis 31.12.1972);Antrag auf einen Aufenthaltstitel gestellt;-;-
31.12.2018;EWG-6 (bis 31.12.1972);Duldung;10;-
31.12.2018;EWG-6 (bis 31.12.1972);Aufenthaltsgestattung;5;-
31.12.2018;EWG-6 (bis 31.12.1972);Ohne Aufenthaltstitel, Duldung oder Gestattung;230;40
31.12.2018;Drittstaaten zu EWG-6 (bis 31.12.1972);Freizügigkeit nach EU-Recht;2114940;1797805
31.12.2018;Drittstaaten zu EWG-6 (bis 31.12.1972);V.d.Erford.e.Aufenthaltstit.befreit, heimatl.Ausl.;5235;3870
31.12.2018;Drittstaaten zu EWG-6 (bis 31.12.1972);Unbefristeter Aufenthaltstitel;1231040;1260765
31.12.2018;Drittstaaten zu EWG-6 (bis 31.12.1972);Befristeter Aufenthaltstitel;1291805;1138075
31.12.2018;Drittstaaten zu EWG-6 (bis 31.12.1972);Befr.Aufenthaltserl.z.Zweck d.Ausbild., AufenthG;120975;99210
31.12.2018;Drittstaaten zu EWG-6 (bis 31.12.1972);Befr.Aufenthaltserl. z.Zweck d.Erwerbst.,AufenthG;150695;69710
31.12.2018;Drittstaaten zu EWG-6 (bis 31.12.1972);Befr. AE.aus völkerr.,human.,pol.Gründen,AufenthG;644270;408200
31.12.2018;Drittstaaten zu EWG-6 (bis 31.12.1972);Befr.Aufenthaltserlaubn. a.fam. Gründen, AufenthG;299525;500985
31.12.2018;Drittstaaten zu EWG-6 (bis 31.12.1972);Aufenthaltsst. mit bes. Aufenthaltsrecht, AufenthG;76345;59965
31.12.2018;Drittstaaten zu EWG-6 (bis 31.12.1972);Antrag auf einen Aufenthaltstitel gestellt;145315;115480
31.12.2018;Drittstaaten zu EWG-6 (bis 31.12.1972);Duldung;122610;58050
31.12.2018;Drittstaaten zu EWG-6 (bis 31.12.1972);Aufenthaltsgestattung;203390;93705
31.12.2018;Drittstaaten zu EWG-6 (bis 31.12.1972);Ohne Aufenthaltstitel, Duldung oder Gestattung;203915;144415
31.12.2018;Afrika;Freizügigkeit nach EU-Recht;6210;6325
31.12.2018;Afrika;V.d.Erford.e.Aufenthaltstit.befreit, heimatl.Ausl.;195;195
31.12.2018;Afrika;Unbefristeter Aufenthaltstitel;63860;47390
31.12.2018;Afrika;Befristeter Aufenthaltstitel;141315;111095
31.12.2018;Afrika;Befr.Aufenthaltserl.z.Zweck d.Ausbild., AufenthG;19525;9430
31.12.2018;Afrika;Befr.Aufenthaltserl. z.Zweck d.Erwerbst.,AufenthG;7255;4210
31.12.2018;Afrika;Befr. AE.aus völkerr.,human.,pol.Gründen,AufenthG;69585;39620
31.12.2018;Afrika;Befr.Aufenthaltserlaubn. a.fam. Gründen, AufenthG;37155;53430
31.12.2018;Afrika;Aufenthaltsst. mit bes. Aufenthaltsrecht, AufenthG;7800;4410
31.12.2018;Afrika;Antrag auf einen Aufenthaltstitel gestellt;21075;13735
31.12.2018;Afrika;Duldung;33120;8505
31.12.2018;Afrika;Aufenthaltsgestattung;50740;20015
31.12.2018;Afrika;Ohne Aufenthaltstitel, Duldung oder Gestattung;30865;15475
31.12.2018;Nordafrika;Freizügigkeit nach EU-Recht;3590;4155
31.12.2018;Nordafrika;V.d.Erford.e.Aufenthaltstit.befreit, heimatl.Ausl.;165;155
31.12.2018;Nordafrika;Unbefristeter Aufenthaltstitel;33320;21515
31.12.2018;Nordafrika;Befristeter Aufenthaltstitel;40645;32580
31.12.2018;Nordafrika;Befr.Aufenthaltserl.z.Zweck d.Ausbild., AufenthG;10690;3735
